P_t,P_x,T_t,T_p
       28.6671271324,-0.131287,       28.6724410057,-0.113525
       28.6854895353,-0.107666,       28.6908655167,-0.099976
       28.7123150826,-0.088074,       28.7463350296,-0.087524
       28.8130675554,-0.082031,       28.8233700991,-0.042847
       29.0514410734,-0.032959,       29.0568259954,-0.032959
       29.1049340963,-0.313110,       29.1103094816,-0.327026
       29.1556780338,-0.010071,       29.2118041515,-0.353577
       29.2276300192,-0.196289,       29.4929375648,-0.271912
       29.5835461617,0.337280,       29.6101195812,0.423157
       29.7748980522,0.104919,       29.7775871754,0.104919
       29.7829481363,-0.920105,       29.7986695766,-0.615417
       29.8203030825,0.143372,       29.8363536596,-0.169922
       29.8543990850,0.333069,       29.9584965706,-0.369690
       29.9800466299,-0.231079,       29.9827615023,-0.231079
       29.9934531450,-0.057678,       30.0469011068,-0.238403
       30.0688725710,-0.169739,       30.0930951834,-0.028931
       30.0981971025,-0.028931,       30.1083946228,-0.088074
       30.1213220358,-0.140259,       30.1264810562,-0.140259
       30.1424090862,-0.104370,       30.1633790731,0.044312
       30.1710605621,0.001099,       30.2591960430,-0.025818
       30.4318286180,-0.049438,       30.4369721413,-0.049438
       30.5735290051,0.199768,       30.7089110613,-0.054382
       30.7141965628,-0.045227,       30.8087546825,-0.087524
       30.8141425848,-0.114807,       30.9688676596,0.133850
       31.1355546713,0.590698,       31.1518131495,-1.000671
       31.1676335335,1.548340,       31.2023526430,-0.527344
       31.2074816227,-0.527344,       31.3222005367,-0.165527
       31.3465505838,-0.398438,       31.3518966436,-0.398438
       31.4499931335,-0.240784,       31.5162260532,-0.151062
       31.5615470409,-0.111694,       31.6121184826,-0.125427
       31.7449780703,0.041016,       31.7500785589,0.017395
       31.7956296206,-0.000183,       31.8007490635,-0.000183
       31.8676955700,-0.107300,       31.8730856180,-0.227783
       31.9609875679,-0.179810,       32.0839436054,0.156006
       32.0890531540,0.057495,       32.2778816223,-0.167908
       32.2832635641,-0.080383,       32.3761366606,-0.050537
       32.5273270607,-0.083679,       32.5325031281,-0.083679
       32.5432665348,-0.133118,       32.5648580790,-0.496582
       32.5914001465,0.467468,       32.6156290770,0.487610
       32.6261571646,0.167542,       32.7799324989,-0.279785
       32.7988910675,-0.342773,       32.8042676449,-0.342773
       32.9023156166,-0.219910,       32.9184266329,-0.136963
       32.9262485504,-0.025269,       33.0802156925,-0.045227
       33.2203506231,0.053833,       33.2257341146,0.083313
       33.3354635239,-0.223572,       33.3700416088,-0.195190
       33.3727561235,-0.137878,       33.7025260925,0.041016
       33.7077521086,0.041016,       33.7846020460,0.080200
       33.9520225525,0.411072,       33.9574060440,0.265869
       33.9681661129,-0.295166,       33.9842101336,-1.775757
       34.0131186247,0.645630,       34.0345284939,0.280151
       34.0502080917,-0.210938,       34.1224490404,-0.626770
       34.1403665543,-0.503174,       34.1882566214,-0.051086
       34.2176796198,-0.277222,       34.3209820986,-0.066467
       34.4509540796,-0.039734,       34.4988425970,0.052917
       34.7490905523,-0.220642,       35.1696411371,0.036987
       35.3588001728,-0.301575,       35.3802396059,-1.026672
       35.4043160677,0.902161,       35.4471155405,-0.488159
       35.4524431229,-0.488159,       35.5981850624,-0.093018
       35.6351381540,-0.335449,       35.6645325422,-0.094666
       35.7148940563,-0.234192,       35.7704806328,-0.139160
       35.7758021355,-0.139160,       35.8897475004,-0.128357
       35.8924316168,-0.128357,       35.9031575918,-0.155640
       36.0919860601,-0.124695,       36.0973725319,-0.218445
       36.1293051243,-0.001648,       36.1614391804,0.078186
       36.1960650682,0.115723,       36.2306550741,0.223572
       36.2359915972,0.237122,       36.4411331415,-0.099976
       36.4465311766,-0.099976,       36.5127950907,0.348816
       36.6771595478,-0.244995,       36.6850636005,-0.569458
       36.6902710199,-0.569458,       36.7063411474,-0.358887
       36.7223910093,0.156189,       36.7461861372,-0.148682
       36.7515640259,-0.235840,       36.7676936388,-0.190063
       36.9391275644,-0.200500,       37.0786026716,-0.157471
       37.1950091124,-0.163330,       37.2269955873,-0.147766
       37.2877125740,-0.158386,       37.3274601698,-0.142090
