P_t,P_x,T_t,T_p
       31.8779345751,-0.475159,       31.6010950804,-0.031494
       31.9232496023,-0.071045,       31.9180850983,-0.036072
       31.9842060804,0.133118,       31.9790395498,-0.143188
       32.2612301111,-0.054749,       32.2561215162,-0.054749
       32.4320861101,0.215515,       32.2667411566,0.080750
       32.4668825865,0.802185,       32.4536089897,-3.558472
       32.4828320742,1.043701,       32.4721370935,0.836609
       32.5146466494,0.393677,       32.4989721775,-0.238586
       32.5388251543,-0.223022,       32.5361391306,-0.223022
       32.5495500565,-0.136780,       32.5441956520,-0.223022
       32.7482920885,-0.197937,       32.6982181072,-0.158752
       32.8523811102,-0.130554,       32.7695051432,-0.131653
       32.9989966154,-0.087341,       32.8922960758,-0.046509
       33.1319816113,-0.239868,       33.0043481588,-0.126709
       33.2199306488,-0.353027,       33.1373600960,-0.239868
       33.3536095619,-0.054382,       33.3482820988,-0.037537
       33.7729076147,-0.008240,       33.6085406542,0.235291
       33.7858886719,-2.184082,       33.7806121111,-0.008240
       33.8235510588,1.164185,       33.8020066023,-1.253723
       33.8527081013,0.496033,       33.8392311335,-0.643433
       34.0339781046,-0.275574,       34.0288690329,-0.275574
       34.0519106388,-0.191711,       34.0467691422,-0.191711
       34.1284595728,-0.163147,       34.1075816154,-0.165710
       34.1686240435,-0.184021,       34.1336195469,-0.121033
       34.4958070517,-0.234741,       34.1739425659,-0.154724
       34.5568361282,-0.312744,       34.5168296099,-0.347900
       34.5676015615,-0.621643,       34.5622165203,-0.621643
       34.6563920975,-0.255066,       34.6510101557,-0.255066
       34.7340666056,-0.065002,       34.7286275625,-0.065002
       34.8670611382,-0.186951,       34.8616230488,-0.220642
       35.1200876236,-0.006592,       34.9496221542,-0.025085
       35.1598330736,0.696899,       35.1382211447,-1.793884
       35.2315635681,0.266602,       35.2264575958,0.266602
       35.3824436665,-0.284729,       35.3537930250,-0.237305
       35.6323336363,-0.031494,       35.4862606525,-0.157654
       35.7542495728,0.030579,       35.6377060413,-0.031494
       35.8873360157,0.097778,       35.7596236467,0.004761
       35.9031860828,0.070312,       35.8924655914,0.097778
       36.4468855858,0.441833,       36.2967996597,0.091736
       36.4898781776,0.227051,       36.4686241150,-3.048889
       36.5181156397,-0.062805,       36.5079085827,-0.551514
       36.5633106232,0.395874,       36.5390691757,-0.316772
       36.7391121387,-0.196655,       36.6965851784,-0.247009
       36.8107815981,-0.138428,       36.7837946415,-0.240784
       36.8961136341,-0.105469,       36.8345296383,-0.094849
       36.9122276306,-0.104553,       36.9014791250,-0.100342
       37.2343806028,-0.352478,       36.9601686001,0.049072
       37.7758041620,0.072510,       37.6038626432,-0.163879
       37.8208451271,1.339783,       37.7997021675,-2.662354
       37.8474996090,-0.022339,       37.8373221159,-0.606628
       37.8935695887,0.118103,       37.8755266666,-0.201233
       38.0492405891,-0.214966,       38.0194845200,-0.337463
       38.1544620991,-0.122864,       38.0809561014,-0.208557
       38.2578245401,0.002747,       38.1868085861,-0.127441
       38.5537190437,-0.247192,       38.2820315361,0.010986
       38.6256905794,-0.182007,       38.6203875542,-0.094482
       38.8639200926,-0.291138,       38.8586026430,-0.291138
       38.9640821218,0.530090,       38.9353945255,-0.093750
       39.1011216640,-0.521667,       38.9692001343,0.530090
       39.1464090347,1.182495,       39.1172831059,-3.189331
       39.2128481865,0.657532,       39.1914170980,-0.444031
       39.3740485907,-0.251038,       39.3444941044,-0.151062
       39.4832971096,-0.053101,       39.4160975218,-0.121216
       39.6403565407,-0.040649,       39.4886951447,-0.073792
       39.7844215631,-0.417664,       39.6457175016,-0.027100
       39.7951165438,-0.379578,       39.7897886038,-0.417664
       39.8508540392,-0.075073,       39.8216207027,-0.389099
       40.1225075722,-0.198303,       40.1171301603,-0.169922
       40.3869026899,-0.368225,       40.2319891453,-0.060425
       40.4316306114,0.882385,       40.3974865675,-1.975342
       40.6364965439,-0.322266,       40.6101106405,-0.299927
       40.6710810661,-0.184753,       40.6659736633,-0.140625
       40.7378796339,-0.161865,       40.6764066219,-0.216431
       41.1241226196,-0.251221,       40.7432490587,-0.161865
       41.2254996300,0.019592,       41.2202055454,-0.257263
       41.6615481377,-0.253052,       41.4863296747,0.003479
       41.6799525023,-2.927673,       41.6748425961,-3.164795
       41.7067471743,1.428040,       41.6851896048,-2.927673
       41.7359355688,0.049072,       41.7229590416,-0.695435
       41.7788165808,0.735535,       41.7629060745,-0.078552
       41.9510880709,-0.234924,       41.9060840607,-0.237488
       42.0281076431,-0.100342,       41.9962626696,-0.137146
       42.4233261347,-0.007507,       42.1557251215,-0.010620
       42.4341235161,-0.321716,       42.4287110567,-0.007507
       42.6336500645,-0.269348,       42.6283260584,-0.249207
       42.8056690693,-0.043213,       42.8002876043,-0.043213
       42.9916496277,0.472046,       42.8271726370,0.091370
       43.0363276005,0.879822,       43.0156515837,-1.098450
       43.0551916361,-0.266602,       43.0497705936,-0.553711
       43.0978835821,0.106567,       43.0817646980,-0.239685
       43.2763240337,-0.193176,       43.2417635918,-0.246277
       43.3589781523,-0.123230,       43.3032990694,-0.136780
       43.5819256306,-0.037537,       43.4249886274,-0.133118
       43.6540460587,0.024902,       43.5873435736,-0.037537
       43.7307585478,-0.251038,       43.6591506004,-0.012085
       43.7922886610,0.083862,       43.7522780895,-0.462341
       44.1916550398,0.351013,       44.1620116234,-0.052002
       44.3452565670,0.357971,       44.1970705986,0.351562
       44.4064025879,-0.084961,       44.3796366453,-1.640076
       44.4351925850,-0.244995,       44.4166256189,-0.390747
       44.4669035673,-0.183838,       44.4512985945,-0.535400
       44.6236790419,-0.293152,       44.6129060984,-0.229980
       44.6500215530,-0.286194,       44.6446615458,-0.314392
       44.7727280855,-0.179077,       44.6715631485,-0.211304
       44.8552405834,-0.158020,       44.7937635183,-0.154541
       44.9511816502,-0.154175,       44.9058341980,-0.132019
       45.3098006248,0.003296,       44.9565825462,-0.167358
       45.5193716288,0.006409,       45.5166060925,0.006409
       45.6252446175,0.227051,       45.6198616028,0.196838
       45.8024270535,1.404053,       45.6758875847,0.639771
       45.9322435856,-0.152527,       45.8314425945,-1.368530
       45.9823276997,-0.150696,       45.9634981155,-0.154541
       46.0407661200,-0.180359,       45.9877051115,-0.215881
       46.0588076115,-0.164795,       46.0433475971,-0.162231
       46.1538355350,-0.148499,       46.1138950586,-0.157104
       46.2587746382,-0.137329,       46.1875301600,-0.128723
       46.4195606709,-0.120667,       46.3692855835,-0.122681
       46.5034365654,-0.130188,       46.4797796011,-0.134949
       46.5587155819,-0.115173,       46.5141190290,-0.130554
       46.7192995548,-0.117920,       46.6691045761,-0.117920
,,,       46.7618135214,-0.126892
